테스트시나리오ID,테스트시나리오명,테스트케이스ID,테스트케이스 내용,사전조건,예상결과,관련 API,실제결과,pass/fail,테스트수행일,담당자
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.001","헤더의 ""이음"" 로고를 클릭한다","페이지 로드 완료","메인페이지(/)로 이동한다","- (프론트 라우팅)",,,,,
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.002","헤더에서 ""전국축제"" 메뉴를 클릭한다","페이지 로드 완료","전국축제 메인 페이지(/)로 이동하고 축제 목록이 표시된다","GET /api/festivals → 200",,,,,
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.003","헤더에서 ""지난축제"" 메뉴를 클릭한다","페이지 로드 완료","지난축제 페이지(/pastFestivals)로 이동하고 종료 축제 목록이 표시된다","GET /api/festivals?status=ended → 200",,,,,
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.004","헤더에서 ""달력"" 메뉴를 클릭한다","페이지 로드 완료","달력 페이지(/calendar)로 이동하고 축제 일정이 표시된다","GET /api/calendar → 200",,,,,
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.005","헤더에서 ""커뮤니티"" 메뉴를 클릭한다","페이지 로드 완료","커뮤니티 페이지(/community)로 이동하고 게시글 목록이 표시된다","GET /api/community/posts → 200",,,,,
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.006","헤더에서 ""공지"" 메뉴를 클릭한다","페이지 로드 완료","공지사항 페이지(/notices)로 이동하고 공지 목록이 표시된다","GET /api/notices → 200",,,,,
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.007","비로그인 상태에서 헤더 우측의 ""로그인"" 버튼을 클릭한다","비로그인 상태","로그인 페이지(/login)로 이동한다","- (프론트 라우팅)",,,,,
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.008","로그인 상태에서 헤더 우측의 사용자 프로필/닉네임을 클릭한다","로그인 상태","마이페이지 드롭다운 메뉴가 표시된다","GET /api/users/me → 200",,,,,
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.009","로그인 상태에서 ""로그아웃"" 버튼을 클릭한다","로그인 상태","로그아웃 처리 후 메인페이지로 이동하고 ""로그인"" 버튼이 다시 표시된다","POST /api/auth/logout → 200",,,,,
"테스트_공통_01","헤더 내비게이션 [성공]","테스트_공통_01.010","현재 접속 중인 페이지에 해당하는 헤더 메뉴를 확인한다","페이지 로드 완료","현재 페이지에 해당하는 메뉴에 활성화(하이라이트) 스타일이 적용된다","- (프론트 UI)",,,,,
"테스트_공통_02","푸터 [성공]","테스트_공통_02.001","푸터의 ""전국축제"" 링크를 클릭한다","페이지 로드 완료","전국축제 메인 페이지로 이동한다","- (프론트 라우팅)",,,,,
"테스트_공통_02","푸터 [성공]","테스트_공통_02.002","푸터의 ""지난축제"" 링크를 클릭한다","페이지 로드 완료","지난축제 페이지로 이동한다","- (프론트 라우팅)",,,,,
"테스트_공통_02","푸터 [성공]","테스트_공통_02.003","푸터의 ""축제 달력"" 링크를 클릭한다","페이지 로드 완료","달력 페이지로 이동한다","- (프론트 라우팅)",,,,,
"테스트_공통_02","푸터 [성공]","테스트_공통_02.004","푸터의 ""커뮤니티"" 링크를 클릭한다","페이지 로드 완료","커뮤니티 페이지로 이동한다","- (프론트 라우팅)",,,,,
"테스트_공통_02","푸터 [성공]","테스트_공통_02.005","푸터의 ""공지사항"" 링크를 클릭한다","페이지 로드 완료","공지사항 페이지로 이동한다","- (프론트 라우팅)",,,,,
"테스트_공통_02","푸터 [성공]","테스트_공통_02.006","푸터의 ""1:1 문의"" 링크를 클릭한다","페이지 로드 완료","1:1 문의 페이지(/inquiry)로 이동한다","- (프론트 라우팅)",,,,,
"테스트_공통_02","푸터 [성공]","테스트_공통_02.007","푸터 하단의 이메일, 전화번호, 운영시간 정보가 표시되는지 확인한다","페이지 로드 완료","ieum@festival.kr, 02-1234-5678, 평일 09:00~18:00 정보가 정상 표시된다","- (프론트 UI)",,,,,
"테스트_인증_01","로그인 [성공]","테스트_인증_01.001","로그인 페이지에 접속한다","비로그인 상태","아이디/비밀번호 입력 폼, 소셜 로그인 버튼(카카오/네이버/구글), 회원가입 링크가 표시된다","- (프론트 UI)",,,,,
"테스트_인증_01","로그인 [성공]","테스트_인증_01.002","올바른 아이디와 비밀번호를 입력하고 로그인 버튼을 클릭한다","비로그인 상태 / 유효 계정","로그인 성공(200) 후 메인 페이지로 이동하고 헤더에 닉네임이 표시된다","POST /api/auth/login → 200",,,,,
"테스트_인증_01","로그인 [성공]","테스트_인증_01.003","비밀번호 입력 필드의 눈 아이콘(토글)을 클릭한다","로그인 페이지","비밀번호가 평문으로 표시되고, 다시 클릭하면 마스킹 처리된다","- (프론트 UI)",,,,,
"테스트_인증_01","로그인 [성공]","테스트_인증_01.004","""아이디 저장"" 체크박스를 체크한 후 로그인한다","비로그인 상태","다음 접속 시 아이디 입력란에 저장한 아이디가 자동 입력되어 있다","- (프론트 localStorage)",,,,,
"테스트_인증_01","로그인 [성공]","테스트_인증_01.005","""카카오 로그인"" 버튼을 클릭한다","비로그인 상태","카카오 OAuth 인증 페이지로 리다이렉트된다","GET /oauth2/authorization/kakao → 302",,,,,
"테스트_인증_01","로그인 [성공]","테스트_인증_01.006","""네이버 로그인"" 버튼을 클릭한다","비로그인 상태","네이버 OAuth 인증 페이지로 리다이렉트된다","GET /oauth2/authorization/naver → 302",,,,,
"테스트_인증_01","로그인 [성공]","테스트_인증_01.007","""구글 로그인"" 버튼을 클릭한다","비로그인 상태","구글 OAuth 인증 페이지로 리다이렉트된다","GET /oauth2/authorization/google → 302",,,,,
"테스트_인증_01","로그인 [성공]","테스트_인증_01.008","""비밀번호 찾기"" 링크를 클릭한다","로그인 페이지","비밀번호 찾기 페이지(/find-password)로 이동한다","- (프론트 라우팅)",,,,,
"테스트_인증_01","로그인 [성공]","테스트_인증_01.009","""회원가입"" 링크를 클릭한다","로그인 페이지","회원가입 페이지(/register)로 이동한다","- (프론트 라우팅)",,,,,
"테스트_인증_01","로그인 [실패]","테스트_인증_01.010","존재하지 않는 아이디로 로그인을 시도한다","비로그인 상태","API 401 응답, ""아이디 또는 비밀번호가 올바르지 않습니다"" 오류 메시지가 표시된다","POST /api/auth/login → 401",,,,,
"테스트_인증_01","로그인 [실패]","테스트_인증_01.011","올바른 아이디에 잘못된 비밀번호로 로그인을 시도한다","비로그인 상태","API 401 응답, ""아이디 또는 비밀번호가 올바르지 않습니다"" 오류 메시지가 표시된다","POST /api/auth/login → 401",,,,,
"테스트_인증_01","로그인 [실패]","테스트_인증_01.012","아이디를 빈칸으로 두고 로그인 버튼을 클릭한다","비로그인 상태","아이디 입력 필수 안내 메시지가 표시된다 (API 호출 전 프론트 검증)","- (프론트 유효성 검사)",,,,,
"테스트_인증_01","로그인 [실패]","테스트_인증_01.013","비밀번호를 빈칸으로 두고 로그인 버튼을 클릭한다","비로그인 상태","비밀번호 입력 필수 안내 메시지가 표시된다 (API 호출 전 프론트 검증)","- (프론트 유효성 검사)",,,,,
